test_year,feature,days_outside,test_days
2023,Specific_Cond_Mean,6,191
2023,month_cos,27,191
2023,month_sin,0,191
2023,turb_flow,33,191
2023,turb_3day,25,191
2023,precip_7day,19,191
2023,swe_7day,16,191
2023,turb/cond,22,191
2023,Turbidity_Median,19,191
2023,Turbidity_Max,0,191
2024,Specific_Cond_Mean,0,126
2024,month_cos,0,126
2024,month_sin,0,126
2024,turb_flow,0,126
2024,turb_3day,0,126
2024,precip_7day,0,126
2024,swe_7day,52,126
2024,turb/cond,0,126
2024,Turbidity_Median,0,126
2024,Turbidity_Max,1,126
2025,Specific_Cond_Mean,0,204
2025,month_cos,0,204
2025,month_sin,0,204
2025,turb_flow,0,204
2025,turb_3day,0,204
2025,precip_7day,0,204
2025,swe_7day,0,204
2025,turb/cond,0,204
2025,Turbidity_Median,0,204
2025,Turbidity_Max,0,204
2026,Specific_Cond_Mean,0,135
2026,month_cos,0,135
2026,month_sin,0,135
2026,turb_flow,0,135
2026,turb_3day,0,135
2026,precip_7day,0,135
2026,swe_7day,0,135
2026,turb/cond,0,135
2026,Turbidity_Median,0,135
2026,Turbidity_Max,0,135
