label,model,test_year,train_rows,test_rows,excursion_days,r2,rmse,mape,excursion_recall,excursion_precision
jake_full,rf_grid,2023,198,186,170,-0.312128,7.168513,0.110850,0.729412,0.953846
jake_full,rf_grid,2024,384,112,72,0.379294,5.680687,0.074699,0.861111,0.873239
jake_full,rf_grid,2025,496,211,102,0.754592,5.593370,0.078017,0.931373,0.753968
jake_full,rf_grid,2026,707,133,32,-0.522844,5.501812,0.067511,0.718750,0.460000
jake_full,catboost,2023,198,186,170,0.331663,5.116096,0.079160,0.900000,0.962264
jake_full,catboost,2024,384,112,72,0.139727,6.687685,0.088668,0.819444,0.719512
jake_full,catboost,2025,496,211,102,0.795213,5.109519,0.076906,0.666667,0.871795
jake_full,catboost,2026,707,133,32,-0.491356,5.444635,0.066272,0.625000,0.476190
drop:turb_flow,rf_grid,2023,198,186,170,-0.749037,8.276379,0.130029,0.852941,0.953947
drop:turb_flow,rf_grid,2024,384,112,72,0.351494,5.806504,0.078160,0.833333,0.882353
drop:turb_flow,rf_grid,2025,496,211,102,0.719603,5.978828,0.084756,0.901961,0.747967
drop:turb_flow,rf_grid,2026,707,133,32,-0.555743,5.560925,0.070298,0.718750,0.403509
drop:turb_flow,catboost,2023,198,186,170,0.427712,4.734216,0.074550,0.917647,0.968944
drop:turb_flow,catboost,2024,384,112,72,0.069501,6.955297,0.092826,0.847222,0.709302
drop:turb_flow,catboost,2025,496,211,102,0.809594,4.926857,0.073467,0.676471,0.873418
drop:turb_flow,catboost,2026,707,133,32,-0.871058,6.098481,0.072307,0.718750,0.500000
